name,device_role,tenant,manufacturer,model_name,platform,serial,asset_tag,status,site,rack_group,rack_name,position,face,comments
fds-r630-24,Server,,Dell,R630,,38XLT52,7070521286,Active,NAP Cage 1,,Location pending audit,,,LOM 10.141.1.217
fds-r630-25,Server,,Dell,R620,,J50DBZ1,41661817309,Active,NAP Cage 1,,Location pending audit,,,LOM 10.141.1.218
fds-r630-26,Server,,Dell,R620,,8WP0M02,19391195234,Active,NAP Cage 1,,Location pending audit,,,LOM 10.141.1.220
fdsui-kvm-01,Server,,Dell,R630,,870R7M2,870R7M2,Active,NAP Cage 1,,R2-04,39,Front,"LOM IP: 10.141.8.86

eth0 IP for tracking down: 10.140.140.161"
FH1KHQ2,Server,,Dell,R640,,FH1KHQ2,,Active,NAP Cage 1,,R2-R5,15,Front,
FH1LHQ2,Server,,Dell,R640,,FH1LHQ2,,Active,NAP Cage 1,,R2-R5,18,Front,
FH1MHQ2,Server,,Dell,R640,,FH1MHQ2,,Active,NAP Cage 1,,R2-R5,19,Front,
FH1NHQ2,Server,,Dell,R640,,FH1NHQ2,,Active,NAP Cage 1,,R2-R5,16,Front,
FH1PHQ2,Server,,Dell,R640,,FH1PHQ2,,Active,NAP Cage 1,,R2-R5,17,Front,
FHV8FB2,Server,,Dell,R330,,FHV8FB2,,Active,NAP Cage 1,,R2-01,,,
firewall-lab,Firewall,,Cisco,ASA5508-X,,,,Active,Equinix District of Columbia,Cage 005325,0104,36,Front,
firewall-prod,Firewall,,Cisco,ASA5508-X,,,,Active,Equinix District of Columbia,Cage 005325,0103,37,Front,
freenas,Server,,Super Micro,12x3.5 Inch Bays (2U),Linux,SM,,Active,Biltmore Suite 770 Server Room,,Floor 7 Rack 2,32,Front,
Freestyle01,Server,,Super Micro,8x3.5 Inch Bays (2U),,,,Active,NAP Cage 1,,R1-07,31,Front,
Freestyle02,Server,,Super Micro,8x3.5 Inch Bays (2U),,,,Active,NAP Cage 1,,R1-07,29,Front,
Freestyle03,Server,,Super Micro,5x3.5 Inch Bays (4U),,,,Active,NAP Cage 1,,R1-07,9,Front,
Freestyle04,Server,,Dell,R630,,DF6JFB2,DF6JFB2,Active,NAP Cage 1,,R1-07,13,Front,LOM 10.141.0.104
FV2MHQ2,Server,,Dell,R640,,FV2MHQ2,,Active,NAP Cage 1,,R2-R5,14,Front,
FV2NHQ2,Server,,Dell,R640,,FV2NHQ2,,Active,NAP Cage 1,,R2-R5,12,Front,
FV2PHQ2,Server,,Dell,R640,,FV2PHQ2,,Active,NAP Cage 1,,R2-R5,13,Front,
FV2QHQ2,Server,,Dell,R640,,FV2QHQ2,,Active,NAP Cage 1,,R2-R5,11,Front,
FV3JHQ2,Server,,Dell,R640,,FV3JHQ2,,Active,NAP Cage 1,,R2-R5,10,Front,
FXCLXG2,Server,,Dell,R630,,FXCLXG2,,Active,NAP Cage 1,,R2-01,,,
